title,task_body
Подготовка отчета,Подготовить отчет по результатам продаж за последний квартал
Проверка документов,Проверить и подписать договоры с новыми клиентами
Разработка стратегии,Разработать стратегию для улучшения клиентского сервиса
Собрание команды,Организовать собрание команды для обсуждения новых проектов
Обновление данных,Обновить информацию о клиентах в CRM-системе
Планирование бюджета,Рассчитать бюджет на маркетинговую кампанию
Проверка качества,Провести контроль качества продукции перед отправкой
Анализ данных,Анализировать данные по удовлетворенности клиентов
Создание презентации,Подготовить презентацию для совещания с руководством
Проведение тренинга,Организовать тренинг для новых сотрудников
Разработка контента,Создать контент для обновленного раздела сайта
Подготовка отчетности,Составить отчет по итогам финансового года
Обратная связь,Получить отзывы от сотрудников после внедрения нового ПО
Планирование встреч,Составить расписание встреч с ключевыми партнерами
Мониторинг задач,Отслеживать выполнение задач по проекту "Развитие"
